new covid19 cases,new covid19,je,last 24,covid19 outbreak,casos nuevos,confinement,contagios,nous,stay home stay,vous,qu,active cases,il faut,april,pas,new covid 19,new covid,staying home,wearing masks,front lines,covid 19 cases,19 cases,est pas,il est,second,spike,ppe,ministerio salud,ce,est,increase
517,943,0,930,0,639,0,5186,0,0,0,0,1254,0,0,3092,2197,2260,0,822,0,6397,6420,0,0,2952,0,0,793,0,4791,2982
523,913,0,809,0,752,0,4881,0,0,0,0,1743,0,0,3998,1931,1993,0,891,0,6949,6995,484,0,5256,3092,0,697,0,5470,3306
581,1007,0,886,0,902,0,5782,0,0,0,0,1325,0,0,3219,2406,2480,0,1135,0,8788,8818,0,0,7302,4142,0,655,0,4965,4086
641,1044,0,834,0,789,0,5031,0,0,0,0,1115,0,2456,2738,2326,2436,0,1152,0,7972,7997,0,0,7603,4116,0,636,0,4568,3737
546,839,0,765,0,823,0,4075,0,0,0,0,1061,0,0,2565,2573,2638,0,1190,0,7343,7363,0,0,5777,3889,0,676,0,4019,2761
566,952,1820,800,0,786,0,3721,0,0,0,0,1054,0,0,2875,2788,2855,0,1182,0,7226,7259,362,0,4939,3241,0,537,2043,4240,2772
668,1094,0,823,0,809,0,4801,0,0,0,0,1120,0,0,2854,3041,3150,0,1351,0,8476,8523,0,0,7359,3984,0,575,0,4574,3580
615,1075,0,810,0,813,0,4842,0,0,0,0,1041,0,0,3523,3594,3737,0,1290,0,8971,9004,0,0,6376,3727,0,600,0,5609,4243
664,1166,0,854,0,743,0,4806,0,0,0,0,1091,0,0,3211,3568,3709,0,1445,0,8694,8754,0,0,7001,4215,0,799,0,5091,3948
695,1098,0,742,0,810,0,6395,0,0,0,0,1012,0,0,2772,3412,3710,0,1311,0,8321,8351,0,0,4214,3374,0,592,0,4502,4178
717,1089,0,825,0,1021,0,6117,0,0,0,0,1083,0,0,2885,2732,2917,0,1709,0,8576,8605,0,0,3771,4861,0,667,0,4550,4099
867,1246,0,969,0,868,0,5060,0,0,0,0,1061,0,0,2280,2461,2562,0,1626,0,7949,7981,0,0,3624,4459,0,604,0,3525,3144
647,1015,0,792,0,804,0,4007,0,0,0,0,1124,0,0,2619,2256,2340,0,1104,0,6651,6688,0,0,3645,3630,0,523,0,3608,3411
568,1043,0,850,0,819,0,5419,0,0,0,0,1300,0,0,3233,2803,2962,0,1373,0,9356,9398,0,0,7380,4033,0,690,0,4660,6214
605,1077,0,941,0,738,0,4942,0,0,0,0,1071,0,0,3060,2842,2947,0,1293,0,9174,9191,0,0,4892,3741,0,602,0,4493,4483
621,1132,0,737,0,938,0,4567,0,0,0,0,978,0,0,2749,2960,3091,0,1515,0,9531,9566,0,0,5874,4926,0,532,0,4282,4040
719,1255,0,992,0,816,0,4479,0,0,0,0,1067,0,3279,3062,4183,4350,0,2048,0,12687,12727,0,0,5085,5455,0,645,0,4970,4520
728,1248,0,870,0,793,0,4511,0,0,0,0,1070,0,0,0,3447,3666,0,1940,0,11589,11629,0,0,4475,5634,0,595,0,4044,4513
